"","state","county","year_court_estab","felonies","misdemeanors","court","year","population","per_capita_income","percent_employed","prop_17","prop_64","prop_65","graduate_hs","graduate_college","death_rate","percent_male","percent_white","percent_black","average_age","avg_never_married","avg_married","avg_divorced","percent_below_pov","unemployment_rate","homelessness_count","county_fips","years_since","percent_homeless","county_state_code","Group","match"
"1","ID","Ada",2005,1,0,1,2007,372467,14268,0.63142753,0.28304216,0.61271292,0.10424493,0.86338603,0.2980963,60,0.49193051,0.9665314,0.0046555703,34.368584,0.22350383,0.59506768,0.11331606,0.061883409,2.7,581,1,2,15.598698,"100142680",TRUE,1
"2","IA","Adams",0,0,0,0,2007,4099,10110,0.20468557,0.24434854,0.53842992,0.21722154,0.77108759,0.16164903,124,0.49075216,0.99609536,0.0006165228,41.924374,0.16580844,0.66297632,0.056385171,0.14103472,4.2,1529,3,0,3730.178,"300101100",FALSE,1
"3","CA","Alameda",2009,1,1,0,2007,1449020,17547,0.42973167,0.23718673,0.65666729,0.10614596,0.81241018,0.33471027,71,0.4927696,0.59554857,0.17921531,35.480156,0.32184255,0.48303875,0.10394745,0.081192605,4.7,4838,1,-2,33.388084,"100175470",TRUE,1
"4","PA","Allegheny",2001,1,1,1,2007,1219922,15115,0.49090165,0.21114387,0.61532837,0.17352776,0.79881316,0.27725053,118,0.46895316,0.87504423,0.11190102,39.938023,0.28601116,0.51868349,0.069801249,0.087094598,4.3,1380,3,6,11.312199,"300151150",TRUE,1
"5","AK","Anchorage",1998,1,1,1,2007,278504,19620,0.43861836,0.29463899,0.66887575,0.036485255,0.89383018,0.31626469,39,0.51412934,0.80735892,0.064257883,30.583635,0.26655084,0.56099081,0.12234332,0.054173402,5,974,20,9,34.972569,"2000196200",TRUE,1
"6","MO","Andrew",0,0,0,0,2007,16835,10984,0.10757244,0.27009293,0.57251233,0.15739475,0.78313816,0.1587822,97,0.4859896,0.99207217,0.0020503006,37.976078,0.17061947,0.66522121,0.069734514,0.1054111,3.9,100,3,0,59.400059,"300109840",FALSE,1
"7","MD","Annearundel",2003,1,1,1,2007,511875,18509,0.36949575,0.24620411,0.66587085,0.087925024,0.81338042,0.27485532,68,0.50342315,0.85655338,0.11825933,35.004768,0.25897187,0.57874036,0.07579945,0.030496268,3.2,289,3,4,5.6459098,"300185090",TRUE,1
"8","VA","Appomattox",0,0,0,0,2007,14193,10795,0,0.24914621,0.60359406,0.14725971,0.62385821,0.12222706,103,0.48389983,0.76914948,0.22898032,38.383396,0.20869477,0.62087971,0.058271252,0.09997192,4.2,289,11,0,203.62151,"1100107950",FALSE,1
"9","VA","Arlington",0,0,0,0,2007,203914,25633,0.63123041,0.15139,0.73506457,0.11354542,0.86823124,0.54051429,64,0.49138275,0.76562572,0.10495156,37.753002,0.3995156,0.42626479,0.089538485,0.042726457,2.1,462,13,0,22.65661,"1300256330",FALSE,1
"10","AL","Autauga",0,0,0,0,2007,49834,11182,0.22053066,0.29507333,0.60639358,0.098533109,0.69678783,0.17364848,86,0.48661679,0.79317397,0.20001753,34.479897,0.21653026,0.61581224,0.07697653,0.12024655,3.4,456,1,0,91.503792,"100111820",FALSE,1
"11","AL","Baldwin",0,0,0,0,2007,172815,12275,0.36864063,0.25979853,0.58880746,0.15139398,0.73007894,0.2001785,91,0.48576516,0.86044973,0.12861213,38.085651,0.18990049,0.63218522,0.083035298,0.10438783,3.2,649,3,0,37.554611,"300122750",FALSE,1
"12","MD","Baltimore",2017,0,0,0,2007,787119,18658,0.43145692,0.21839991,0.64167202,0.1399281,0.79015803,0.28569764,94,0.47727609,0.84939909,0.1234602,38.194424,0.25451562,0.55883569,0.075366512,0.038321882,3.8,3241,510,-10,41.175476,"51000186580",TRUE,1
